set,experiment,system,size
batch,collisions,flink,1417
batch,collisions,mpi,3891
batch,collisions,noir,1662
batch,connected-components,flink,1342
batch,connected-components,mpi,990
batch,connected-components,noir,981
batch,enum-triangles,flink,1510
batch,enum-triangles,mpi,1570
batch,enum-triangles,noir,718
batch,kmeans,flink,1929
batch,kmeans,mpi,1940
batch,pagerank-flink,flink,1585
batch,pagerank-flink,noir,981
batch,pagerank-mpi,mpi,958
batch,pagerank-mpi,noir,1049
batch,pagerank-timely,noir,914
batch,pagerank-timely,timely,1161
batch,transitive-closure,flink,1043
batch,transitive-closure,mpi,1613
batch,transitive-closure,noir,739
batch,wc-opt,mpi,1524
batch,wc-opt,noir,636
batch,wc-re,flink,706
batch,wc-re,mpi,1635
batch,wc-re,noir,603
batch,wc-re,timely,1352
single,collatz,noir,546
single,collatz,openmp,551
single,collatz,rayon,403
single,kmeans,noir,1383
single,kmeans,openmp,1433
single,kmeans,rayon,1354
single,wc,noir,604
single,wc,openmp,1018
single,wc,rayon,718
streaming,nexmark-common,flink,809
streaming,nexmark-common,noir,980
streaming,nexmark-common,timely,2472
streaming,nexmark-q0,flink,336
streaming,nexmark-q0,noir,252
streaming,nexmark-q0,timely,271
streaming,nexmark-q1,flink,363
streaming,nexmark-q1,noir,318
streaming,nexmark-q1,timely,322
streaming,nexmark-q2,flink,307
streaming,nexmark-q2,noir,293
streaming,nexmark-q2,timely,347
streaming,nexmark-q3,flink,390
streaming,nexmark-q3,noir,476
streaming,nexmark-q3,timely,807
streaming,nexmark-q4,flink,488
streaming,nexmark-q4,noir,921
streaming,nexmark-q4,timely,1617
streaming,nexmark-q5,flink,534
streaming,nexmark-q5,noir,512
streaming,nexmark-q5,timely,1270
streaming,nexmark-q6,flink,473
streaming,nexmark-q6,noir,979
streaming,nexmark-q6,timely,1663
streaming,nexmark-q7,flink,468
streaming,nexmark-q7,noir,505
streaming,nexmark-q7,timely,855
streaming,nexmark-q8,flink,471
streaming,nexmark-q8,noir,601
streaming,nexmark-q8,timely,959
